"DEPARTAMENTO_PRESTACION","MUNICIPIO_PRESTACION","SERVICIO","ESTADO","NOMBRE","NIT","DEPARTAMENTO_DOMICILIO","MUNICIPIO_DOMICILIO","DIRECCION","TELEFONO","EMAIL","TIPO_INSCRIPCION","REPRESENTANTE_LEGAL","TIPO_PRESTADOR","CLASIFICACION"
"CALDAS","ANSERMA","ACUEDUCTO","OPERATIVA","EMPRESA DE OBRAS SANITARIAS DE CALDAS  S. A. EMPRESA DE SERVICIOS PUBLICOS","890803239-9","CALDAS","MANIZALES","Carrera 23 Nro 75 - 82","8867080","lorena.grisalest@empocaldas.com.co","Registro por la ESP","WILDER IBERSON ESCOBAR  ORTIZ","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAYOR O IGUAL A 5001 USUARIOS"
"CALDAS","BELALCAZAR","ACUEDUCTO","OPERATIVA","EMPRESA DE OBRAS SANITARIAS DE CALDAS  S. A. EMPRESA DE SERVICIOS PUBLICOS","890803239-9","CALDAS","MANIZALES","Carrera 23 Nro 75 - 82","8867080","lorena.grisalest@empocaldas.com.co","Registro por la ESP","WILDER IBERSON ESCOBAR  ORTIZ","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAYOR O IGUAL A 5001 USUARIOS"
"CALDAS","CHINCHINA","ACUEDUCTO","OPERATIVA","EMPRESA DE OBRAS SANITARIAS DE CALDAS  S. A. EMPRESA DE SERVICIOS PUBLICOS","890803239-9","CALDAS","MANIZALES","Carrera 23 Nro 75 - 82","8867080","lorena.grisalest@empocaldas.com.co","Registro por la ESP","WILDER IBERSON ESCOBAR  ORTIZ","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAYOR O IGUAL A 5001 USUARIOS"
"CALDAS","FILADELFIA","ACUEDUCTO","OPERATIVA","EMPRESA DE OBRAS SANITARIAS DE CALDAS  S. A. EMPRESA DE SERVICIOS PUBLICOS","890803239-9","CALDAS","MANIZALES","Carrera 23 Nro 75 - 82","8867080","lorena.grisalest@empocaldas.com.co","Registro por la ESP","WILDER IBERSON ESCOBAR  ORTIZ","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAYOR O IGUAL A 5001 USUARIOS"
"CALDAS","LA DORADA","ACUEDUCTO","OPERATIVA","EMPRESA DE OBRAS SANITARIAS DE CALDAS  S. A. EMPRESA DE SERVICIOS PUBLICOS","890803239-9","CALDAS","MANIZALES","Carrera 23 Nro 75 - 82","8867080","lorena.grisalest@empocaldas.com.co","Registro por la ESP","WILDER IBERSON ESCOBAR  ORTIZ","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAYOR O IGUAL A 5001 USUARIOS"
"CALDAS","MANZANARES","ACUEDUCTO","OPERATIVA","EMPRESA DE OBRAS SANITARIAS DE CALDAS  S. A. EMPRESA DE SERVICIOS PUBLICOS","890803239-9","CALDAS","MANIZALES","Carrera 23 Nro 75 - 82","8867080","lorena.grisalest@empocaldas.com.co","Registro por la ESP","WILDER IBERSON ESCOBAR  ORTIZ","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAYOR O IGUAL A 5001 USUARIOS"
"CALDAS","MARMATO","ACUEDUCTO","OPERATIVA","EMPRESA DE OBRAS SANITARIAS DE CALDAS  S. A. EMPRESA DE SERVICIOS PUBLICOS","890803239-9","CALDAS","MANIZALES","Carrera 23 Nro 75 - 82","8867080","lorena.grisalest@empocaldas.com.co","Registro por la ESP","WILDER IBERSON ESCOBAR  ORTIZ","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAYOR O IGUAL A 5001 USUARIOS"
"CALDAS","MARQUETALIA","ACUEDUCTO","OPERATIVA","EMPRESA DE OBRAS SANITARIAS DE CALDAS  S. A. EMPRESA DE SERVICIOS PUBLICOS","890803239-9","CALDAS","MANIZALES","Carrera 23 Nro 75 - 82","8867080","lorena.grisalest@empocaldas.com.co","Registro por la ESP","WILDER IBERSON ESCOBAR  ORTIZ","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAYOR O IGUAL A 5001 USUARIOS"
"CALDAS","MARULANDA","ACUEDUCTO","OPERATIVA","EMPRESA DE OBRAS SANITARIAS DE CALDAS  S. A. EMPRESA DE SERVICIOS PUBLICOS","890803239-9","CALDAS","MANIZALES","Carrera 23 Nro 75 - 82","8867080","lorena.grisalest@empocaldas.com.co","Registro por la ESP","WILDER IBERSON ESCOBAR  ORTIZ","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAYOR O IGUAL A 5001 USUARIOS"
"CALDAS","NEIRA","ACUEDUCTO","OPERATIVA","EMPRESA DE OBRAS SANITARIAS DE CALDAS  S. A. EMPRESA DE SERVICIOS PUBLICOS","890803239-9","CALDAS","MANIZALES","Carrera 23 Nro 75 - 82","8867080","lorena.grisalest@empocaldas.com.co","Registro por la ESP","WILDER IBERSON ESCOBAR  ORTIZ","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAYOR O IGUAL A 5001 USUARIOS"
"CALDAS","PALESTINA","ACUEDUCTO","OPERATIVA","EMPRESA DE OBRAS SANITARIAS DE CALDAS  S. A. EMPRESA DE SERVICIOS PUBLICOS","890803239-9","CALDAS","MANIZALES","Carrera 23 Nro 75 - 82","8867080","lorena.grisalest@empocaldas.com.co","Registro por la ESP","WILDER IBERSON ESCOBAR  ORTIZ","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAYOR O IGUAL A 5001 USUARIOS"
"CALDAS","RIOSUCIO","ACUEDUCTO","OPERATIVA","EMPRESA DE OBRAS SANITARIAS DE CALDAS  S. A. EMPRESA DE SERVICIOS PUBLICOS","890803239-9","CALDAS","MANIZALES","Carrera 23 Nro 75 - 82","8867080","lorena.grisalest@empocaldas.com.co","Registro por la ESP","WILDER IBERSON ESCOBAR  ORTIZ","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAYOR O IGUAL A 5001 USUARIOS"
"CALDAS","RISARALDA","ACUEDUCTO","OPERATIVA","EMPRESA DE OBRAS SANITARIAS DE CALDAS  S. A. EMPRESA DE SERVICIOS PUBLICOS","890803239-9","CALDAS","MANIZALES","Carrera 23 Nro 75 - 82","8867080","lorena.grisalest@empocaldas.com.co","Registro por la ESP","WILDER IBERSON ESCOBAR  ORTIZ","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAYOR O IGUAL A 5001 USUARIOS"
"CALDAS","SALAMINA","ACUEDUCTO","OPERATIVA","EMPRESA DE OBRAS SANITARIAS DE CALDAS  S. A. EMPRESA DE SERVICIOS PUBLICOS","890803239-9","CALDAS","MANIZALES","Carrera 23 Nro 75 - 82","8867080","lorena.grisalest@empocaldas.com.co","Registro por la ESP","WILDER IBERSON ESCOBAR  ORTIZ","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAYOR O IGUAL A 5001 USUARIOS"
"CALDAS","SAMANA","ACUEDUCTO","OPERATIVA","EMPRESA DE OBRAS SANITARIAS DE CALDAS  S. A. EMPRESA DE SERVICIOS PUBLICOS","890803239-9","CALDAS","MANIZALES","Carrera 23 Nro 75 - 82","8867080","lorena.grisalest@empocaldas.com.co","Registro por la ESP","WILDER IBERSON ESCOBAR  ORTIZ","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAYOR O IGUAL A 5001 USUARIOS"
"CALDAS","SAN JOSE","ACUEDUCTO","OPERATIVA","EMPRESA DE OBRAS SANITARIAS DE CALDAS  S. A. EMPRESA DE SERVICIOS PUBLICOS","890803239-9","CALDAS","MANIZALES","Carrera 23 Nro 75 - 82","8867080","lorena.grisalest@empocaldas.com.co","Registro por la ESP","WILDER IBERSON ESCOBAR  ORTIZ","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAYOR O IGUAL A 5001 USUARIOS"
"CALDAS","SUPIA","ACUEDUCTO","OPERATIVA","EMPRESA DE OBRAS SANITARIAS DE CALDAS  S. A. EMPRESA DE SERVICIOS PUBLICOS","890803239-9","CALDAS","MANIZALES","Carrera 23 Nro 75 - 82","8867080","lorena.grisalest@empocaldas.com.co","Registro por la ESP","WILDER IBERSON ESCOBAR  ORTIZ","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAYOR O IGUAL A 5001 USUARIOS"
"CALDAS","VICTORIA","ACUEDUCTO","OPERATIVA","EMPRESA DE OBRAS SANITARIAS DE CALDAS  S. A. EMPRESA DE SERVICIOS PUBLICOS","890803239-9","CALDAS","MANIZALES","Carrera 23 Nro 75 - 82","8867080","lorena.grisalest@empocaldas.com.co","Registro por la ESP","WILDER IBERSON ESCOBAR  ORTIZ","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAYOR O IGUAL A 5001 USUARIOS"
"CALDAS","VITERBO","ACUEDUCTO","OPERATIVA","EMPRESA DE OBRAS SANITARIAS DE CALDAS  S. A. EMPRESA DE SERVICIOS PUBLICOS","890803239-9","CALDAS","MANIZALES","Carrera 23 Nro 75 - 82","8867080","lorena.grisalest@empocaldas.com.co","Registro por la ESP","WILDER IBERSON ESCOBAR  ORTIZ","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAYOR O IGUAL A 5001 USUARIOS"
"CALDAS","AGUADAS","ALCANTARILLADO","OPERATIVA","EMPRESA DE OBRAS SANITARIAS DE CALDAS  S. A. EMPRESA DE SERVICIOS PUBLICOS","890803239-9","CALDAS","MANIZALES","Carrera 23 Nro 75 - 82","8867080","lorena.grisalest@empocaldas.com.co","Registro por la ESP","WILDER IBERSON ESCOBAR  ORTIZ","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAYOR O IGUAL A 5001 USUARIOS"
"CALDAS","ANSERMA","ALCANTARILLADO","OPERATIVA","EMPRESA DE OBRAS SANITARIAS DE CALDAS  S. A. EMPRESA DE SERVICIOS PUBLICOS","890803239-9","CALDAS","MANIZALES","Carrera 23 Nro 75 - 82","8867080","lorena.grisalest@empocaldas.com.co","Registro por la ESP","WILDER IBERSON ESCOBAR  ORTIZ","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAYOR O IGUAL A 5001 USUARIOS"
"CALDAS","BELALCAZAR","ALCANTARILLADO","OPERATIVA","EMPRESA DE OBRAS SANITARIAS DE CALDAS  S. A. EMPRESA DE SERVICIOS PUBLICOS","890803239-9","CALDAS","MANIZALES","Carrera 23 Nro 75 - 82","8867080","lorena.grisalest@empocaldas.com.co","Registro por la ESP","WILDER IBERSON ESCOBAR  ORTIZ","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAYOR O IGUAL A 5001 USUARIOS"
"CALDAS","CHINCHINA","ALCANTARILLADO","OPERATIVA","EMPRESA DE OBRAS SANITARIAS DE CALDAS  S. A. EMPRESA DE SERVICIOS PUBLICOS","890803239-9","CALDAS","MANIZALES","Carrera 23 Nro 75 - 82","8867080","lorena.grisalest@empocaldas.com.co","Registro por la ESP","WILDER IBERSON ESCOBAR  ORTIZ","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAYOR O IGUAL A 5001 USUARIOS"
"CALDAS","FILADELFIA","ALCANTARILLADO","OPERATIVA","EMPRESA DE OBRAS SANITARIAS DE CALDAS  S. A. EMPRESA DE SERVICIOS PUBLICOS","890803239-9","CALDAS","MANIZALES","Carrera 23 Nro 75 - 82","8867080","lorena.grisalest@empocaldas.com.co","Registro por la ESP","WILDER IBERSON ESCOBAR  ORTIZ","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAYOR O IGUAL A 5001 USUARIOS"
"CALDAS","LA DORADA","ALCANTARILLADO","OPERATIVA","EMPRESA DE OBRAS SANITARIAS DE CALDAS  S. A. EMPRESA DE SERVICIOS PUBLICOS","890803239-9","CALDAS","MANIZALES","Carrera 23 Nro 75 - 82","8867080","lorena.grisalest@empocaldas.com.co","Registro por la ESP","WILDER IBERSON ESCOBAR  ORTIZ","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAYOR O IGUAL A 5001 USUARIOS"
"CALDAS","MANZANARES","ALCANTARILLADO","OPERATIVA","EMPRESA DE OBRAS SANITARIAS DE CALDAS  S. A. EMPRESA DE SERVICIOS PUBLICOS","890803239-9","CALDAS","MANIZALES","Carrera 23 Nro 75 - 82","8867080","lorena.grisalest@empocaldas.com.co","Registro por la ESP","WILDER IBERSON ESCOBAR  ORTIZ","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAYOR O IGUAL A 5001 USUARIOS"
"CALDAS","MARMATO","ALCANTARILLADO","OPERATIVA","EMPRESA DE OBRAS SANITARIAS DE CALDAS  S. A. EMPRESA DE SERVICIOS PUBLICOS","890803239-9","CALDAS","MANIZALES","Carrera 23 Nro 75 - 82","8867080","lorena.grisalest@empocaldas.com.co","Registro por la ESP","WILDER IBERSON ESCOBAR  ORTIZ","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAYOR O IGUAL A 5001 USUARIOS"
"CALDAS","MARQUETALIA","ALCANTARILLADO","OPERATIVA","EMPRESA DE OBRAS SANITARIAS DE CALDAS  S. A. EMPRESA DE SERVICIOS PUBLICOS","890803239-9","CALDAS","MANIZALES","Carrera 23 Nro 75 - 82","8867080","lorena.grisalest@empocaldas.com.co","Registro por la ESP","WILDER IBERSON ESCOBAR  ORTIZ","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAYOR O IGUAL A 5001 USUARIOS"
"CALDAS","MARULANDA","ALCANTARILLADO","OPERATIVA","EMPRESA DE OBRAS SANITARIAS DE CALDAS  S. A. EMPRESA DE SERVICIOS PUBLICOS","890803239-9","CALDAS","MANIZALES","Carrera 23 Nro 75 - 82","8867080","lorena.grisalest@empocaldas.com.co","Registro por la ESP","WILDER IBERSON ESCOBAR  ORTIZ","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAYOR O IGUAL A 5001 USUARIOS"
"CALDAS","NEIRA","ALCANTARILLADO","OPERATIVA","EMPRESA DE OBRAS SANITARIAS DE CALDAS  S. A. EMPRESA DE SERVICIOS PUBLICOS","890803239-9","CALDAS","MANIZALES","Carrera 23 Nro 75 - 82","8867080","lorena.grisalest@empocaldas.com.co","Registro por la ESP","WILDER IBERSON ESCOBAR  ORTIZ","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAYOR O IGUAL A 5001 USUARIOS"
"CALDAS","PALESTINA","ALCANTARILLADO","OPERATIVA","EMPRESA DE OBRAS SANITARIAS DE CALDAS  S. A. EMPRESA DE SERVICIOS PUBLICOS","890803239-9","CALDAS","MANIZALES","Carrera 23 Nro 75 - 82","8867080","lorena.grisalest@empocaldas.com.co","Registro por la ESP","WILDER IBERSON ESCOBAR  ORTIZ","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAYOR O IGUAL A 5001 USUARIOS"
"CALDAS","RIOSUCIO","ALCANTARILLADO","OPERATIVA","EMPRESA DE OBRAS SANITARIAS DE CALDAS  S. A. EMPRESA DE SERVICIOS PUBLICOS","890803239-9","CALDAS","MANIZALES","Carrera 23 Nro 75 - 82","8867080","lorena.grisalest@empocaldas.com.co","Registro por la ESP","WILDER IBERSON ESCOBAR  ORTIZ","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAYOR O IGUAL A 5001 USUARIOS"
"CALDAS","RISARALDA","ALCANTARILLADO","OPERATIVA","EMPRESA DE OBRAS SANITARIAS DE CALDAS  S. A. EMPRESA DE SERVICIOS PUBLICOS","890803239-9","CALDAS","MANIZALES","Carrera 23 Nro 75 - 82","8867080","lorena.grisalest@empocaldas.com.co","Registro por la ESP","WILDER IBERSON ESCOBAR  ORTIZ","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAYOR O IGUAL A 5001 USUARIOS"
"CALDAS","SALAMINA","ALCANTARILLADO","OPERATIVA","EMPRESA DE OBRAS SANITARIAS DE CALDAS  S. A. EMPRESA DE SERVICIOS PUBLICOS","890803239-9","CALDAS","MANIZALES","Carrera 23 Nro 75 - 82","8867080","lorena.grisalest@empocaldas.com.co","Registro por la ESP","WILDER IBERSON ESCOBAR  ORTIZ","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAYOR O IGUAL A 5001 USUARIOS"
"CALDAS","SAMANA","ALCANTARILLADO","OPERATIVA","EMPRESA DE OBRAS SANITARIAS DE CALDAS  S. A. EMPRESA DE SERVICIOS PUBLICOS","890803239-9","CALDAS","MANIZALES","Carrera 23 Nro 75 - 82","8867080","lorena.grisalest@empocaldas.com.co","Registro por la ESP","WILDER IBERSON ESCOBAR  ORTIZ","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAYOR O IGUAL A 5001 USUARIOS"
"CALDAS","SAN JOSE","ALCANTARILLADO","OPERATIVA","EMPRESA DE OBRAS SANITARIAS DE CALDAS  S. A. EMPRESA DE SERVICIOS PUBLICOS","890803239-9","CALDAS","MANIZALES","Carrera 23 Nro 75 - 82","8867080","lorena.grisalest@empocaldas.com.co","Registro por la ESP","WILDER IBERSON ESCOBAR  ORTIZ","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAYOR O IGUAL A 5001 USUARIOS"
"CALDAS","SUPIA","ALCANTARILLADO","OPERATIVA","EMPRESA DE OBRAS SANITARIAS DE CALDAS  S. A. EMPRESA DE SERVICIOS PUBLICOS","890803239-9","CALDAS","MANIZALES","Carrera 23 Nro 75 - 82","8867080","lorena.grisalest@empocaldas.com.co","Registro por la ESP","WILDER IBERSON ESCOBAR  ORTIZ","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAYOR O IGUAL A 5001 USUARIOS"
"CALDAS","VICTORIA","ALCANTARILLADO","OPERATIVA","EMPRESA DE OBRAS SANITARIAS DE CALDAS  S. A. EMPRESA DE SERVICIOS PUBLICOS","890803239-9","CALDAS","MANIZALES","Carrera 23 Nro 75 - 82","8867080","lorena.grisalest@empocaldas.com.co","Registro por la ESP","WILDER IBERSON ESCOBAR  ORTIZ","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAYOR O IGUAL A 5001 USUARIOS"
"CALDAS","VITERBO","ALCANTARILLADO","OPERATIVA","EMPRESA DE OBRAS SANITARIAS DE CALDAS  S. A. EMPRESA DE SERVICIOS PUBLICOS","890803239-9","CALDAS","MANIZALES","Carrera 23 Nro 75 - 82","8867080","lorena.grisalest@empocaldas.com.co","Registro por la ESP","WILDER IBERSON ESCOBAR  ORTIZ","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAYOR O IGUAL A 5001 USUARIOS"
,,"Inscripción Oficio Delegada AAA",,"ACUEDUCTO EL BOSQUE  LA COSTA","-","CALDAS","PENSILVANIA","Palacio Municipal-PENSILVANIA",,,"Registro por oficio","REPRESENTANTE LEGAL",,
