,SUBZONA_HIDROGRAFICA
Ríos Calima y  Bajo San Juan,0.0022276676319893073
Río Seco y otros Directos al Magdalena,0.0022276676319893073
Río Atá,0.0020049008687903764
Ríos Chimicuica y Corozal,0.0020049008687903764
Directos Magdalena entre ríos Cabrera y Sumapaz,0.0020049008687903764
Río Humea,0.0020049008687903764
Río Guayas,0.0020049008687903764
Río Caqueta Medio,0.0020049008687903764
Río Putumayo Bajo,0.0020049008687903764
Río Guejar,0.0020049008687903764
Río Timaná y otros directos al Magdalena,0.0020049008687903764
Río Putumayo Medio,0.0017821341055914458
Providencia,0.0017821341055914458
Ríos Claro y Jamundí,0.0017821341055914458
Río Amoyá,0.0017821341055914458
Ríos Amaime y Cerrito,0.0017821341055914458
Río Murrí,0.0017821341055914458
Río Manacacias,0.0017821341055914458
"Río Tetuán, Río Ortega",0.0017821341055914458
Río Patia Medio,0.0017821341055914458
Río Cabi y otros Directos Atrato (md),0.0017821341055914458
Río Guarinó,0.0017821341055914458
Río Putumayo Directos (mi),0.0017821341055914458
Río Rosario,0.001559367342392515
Directos Río Arauca (md),0.001559367342392515
Directos al Río Meta entre ríos Humea y Upia (mi),0.001559367342392515
Directos al Bajo Nechí (mi),0.001559367342392515
Río Tarra,0.001559367342392515
Río Sipí,0.001559367342392515
Río Ovejas,0.001559367342392515
Río Salaquí  y otros directos Bajo Atrato,0.0013366005791935842
Río Guayabero,0.0013366005791935842
Río Ariporo,0.0013366005791935842
Río Mayo,0.0013366005791935842
Río Tapias,0.0013366005791935842
Río Telembí,0.0013366005791935842
Directos Atrato entre ríos Quito y Bojayá (mi),0.0013366005791935842
Río Pescado,0.0013366005791935842
Río Tuparro,0.0013366005791935842
Río Guapi,0.0011138338159946536
Ríos Guadalajara y San Pedro,0.0011138338159946536
Directos Bajo Cauca - Cga La Raya entre río Nechí,0.0011138338159946536
"Ríos Lilí, Melendez y Canaveralejo",0.0011138338159946536
Directos Rio Metica entre ríos Guayuriba y Yucao,0.0011138338159946536
Río Bugalagrande,0.0011138338159946536
Río Tanela y otros Directos al Caribe,0.0011138338159946536
Río Tolo y otros Directos al Caribe,0.0011138338159946536
Río Paila,0.0011138338159946536
Rio Canalete y otros Arroyos Directos al Caribe,0.0011138338159946536
Río San Juan Alto,0.0011138338159946536
Río Cobugón - Río Cobaría,0.0011138338159946536
Rios Las Cañas - Los Micos y Obando,0.0011138338159946536
Medio Saldaña,0.0011138338159946536
Directos Magdalena entre Ríos Guarinó y La Miel,0.0011138338159946536
Directos Magdalena Medio entre ríos La Miel y Nare,0.0011138338159946536
Bajo Catatumbo,0.0011138338159946536
Directos Atrato entre ríos Bebaramá y Murrí (md),0.0008910670527957229
Río Camarones y otros directos Caribe,0.0008910670527957229
Directos al Magdalena entre Ríos Seco y Negro (md),0.0008910670527957229
Río Andágueda,0.0008910670527957229
Río Docampadó y Directos Pacífico,0.0008910670527957229
Ríos Cali,0.0008910670527957229
"Ríos Guabas,Sabaletas y Sonso",0.0008910670527957229
Río Baudó,0.0008910670527957229
Directos Orinoco entre ríos Tomo y Meta (mi),0.0008910670527957229
Río Margua,0.0008910670527957229
Directos al Río Meta entre ríos Pauto y Carare,0.0008910670527957229
Río Frío,0.0006683002895967921
Río Patia Bajo,0.0006683002895967921
Río Timba,0.0006683002895967921
Río San Juan Medio,0.0006683002895967921
Río Guacavía,0.0006683002895967921
Río Caguan Bajo,0.0006683002895967921
Río Desbaratado,0.0006683002895967921
Río Yucao,0.0006683002895967921
Río Caguan Alto,0.0006683002895967921
Caño Matavén,0.0006683002895967921
Río Opía,0.0006683002895967921
Bajo Vichada,0.0006683002895967921
Río Murindó - Directos al Atrato,0.0006683002895967921
Río Saija,0.0006683002895967921
"R._Inírida_(mi),_hasta_bocas_Caño_Bocón,_y_R._Las Viñas",0.00044553352639786146
Río San_Miguel,0.00044553352639786146
Río Melúa,0.00044553352639786146
Río Igará-Paraná,0.00044553352639786146
Río Cará-Paraná,0.00044553352639786146
Río Capoma y otros directos al San Juan,0.00044553352639786146
Río Cotuhe,0.00044553352639786146
Caño Lioni o Terecay,0.00044553352639786146
Directos Bajo Atrato entre río Sucio y desembocadura,0.00044553352639786146
Río Naya - Yurumanguí,0.00044553352639786146
Ríos Cajambre - Mayorquín - Raposo,0.00044553352639786146
Alto Río Tomo,0.00044553352639786146
Río Tapaje,0.00044553352639786146
Bajo Río Tomo,0.00044553352639786146
Rios Arroyohondo - Yumbo - Mulalo - Vijes - Yotoco,0.00044553352639786146
Río Bebaramá y otros Directos Atrato (md),0.00044553352639786146
Río Bojabá,0.00022276676319893073
Bajo Río Apaporis,0.00022276676319893073
Río Querary,0.00022276676319893073
Río Socuavo del Norte y Río Socuavo Sur,0.00022276676319893073
Río Napipí - Río Opogadó,0.00022276676319893073
Río Don Diego,0.00022276676319893073
Río Muco,0.00022276676319893073
Río Anchicayá,0.00022276676319893073
Río Guape,0.00022276676319893073
Río Timbiquí,0.00022276676319893073
Directos al Meta entre ríos Cusiana y Cravo Sur,0.00022276676319893073
Río Inírida Alto,0.00022276676319893073
Río Cravo Norte,0.00022276676319893073
Río San Juan (Frontera Ecuador),0.00022276676319893073
Río Bojayá,0.00022276676319893073
Río Vita,0.00022276676319893073
Río Mesay,0.00022276676319893073
Río del Suroeste y directos Río de Oro,0.00022276676319893073
Roncador y Quitasueño,0.00022276676319893073
Río Cuñare,0.00022276676319893073
