,SUBZONA_HIDROGRAFICA
Directos al Magdalena entre Ríos Seco y Negro (md),4
Río Baudó,4
Río Margua,4
Directos al Río Meta entre ríos Pauto y Carare,4
Río Frío,3
Río Opía,3
Río Murindó - Directos al Atrato,3
Río Caguan Alto,3
"Ríos Guabas,Sabaletas y Sonso",3
Río Guacavía,3
Río Desbaratado,3
Río Caguan Bajo,3
Río Patia Bajo,3
Río Timba,3
Caño Matavén,3
Río Saija,3
Bajo Vichada,3
Río San Juan Medio,3
Ríos Guadalajara y San Pedro,3
Río Yucao,3
Río Cotuhe,2
Rios Arroyohondo - Yumbo - Mulalo - Vijes - Yotoco,2
Río Capoma y otros directos al San Juan,2
Alto Río Tomo,2
"R._Inírida_(mi),_hasta_bocas_Caño_Bocón,_y_R._Las Viñas",2
Ríos Cajambre - Mayorquín - Raposo,2
Directos Bajo Atrato entre río Sucio y desembocadura,2
Río San_Miguel,2
Bajo Río Tomo,2
Río Igará-Paraná,2
Río Cará-Paraná,2
Río Tapaje,2
Caño Lioni o Terecay,2
Río Naya - Yurumanguí,2
Río Melúa,2
Río Bebaramá y otros Directos Atrato (md),2
Río Cajón,1
Bajo Río Apaporis,1
Río Napipí - Río Opogadó,1
Río Querary,1
Río Socuavo del Norte y Río Socuavo Sur,1
Río Inírida Alto,1
Río del Suroeste y directos Río de Oro,1
Río Mesay,1
Río Bojabá,1
Río Cravo Norte,1
Río San Juan (Frontera Ecuador),1
Directos al Meta entre ríos Cusiana y Cravo Sur,1
Río Guape,1
Río Anchicayá,1
Río Don Diego,1
Roncador y Quitasueño,1
Río Muco,1
Río Vita,1
Río Bojayá,1
Río Timbiquí,1
Río Cuñare,1
