SUBZONA_HIDROGRAFICA,Activa,En Mantenimiento,Suspendida
Río Lebrija y otros directos al Magdalena,61.0,1.0,86.0
Río Lengupá,19.0,,6.0
Río León,17.0,,18.0
Río Luisa y otros directos al Magdalena,9.0,,6.0
Río Manacacias,4.0,,4.0
Río Margua,4.0,,
Río Mayo,3.0,,3.0
Río Melúa,,1.0,1.0
Río Mesay,,,1.0
Río Mira,11.0,,4.0
Río Muco,1.0,,
Río Mulatos y otros directos al Caribe,7.0,,7.0
Río Murindó - Directos al Atrato,,,3.0
Río Murrí,4.0,,4.0
Río Napipí - Río Opogadó,1.0,,
Río Nare,31.0,,20.0
Río Naya - Yurumanguí,2.0,,
Río Negro,26.0,2.0,12.0
"Río Nuevo Presidente - Tres Bocas (Sardinata, Tibu)",13.0,,9.0
Río Opía,3.0,,
Río Opón,11.0,,6.0
Río Orteguaza,17.0,1.0,8.0
Río Otún y otros directos al Cauca,25.0,,27.0
Río Ovejas,6.0,,1.0
Río Paila,5.0,,
Río Palacé,9.0,,3.0
Río Palo,7.0,,10.0
Río Pamplonita,21.0,,11.0
Río Patia Alto,24.0,,9.0
Río Patia Bajo,3.0,,
Río Patia Medio,5.0,,3.0
Río Pauto,9.0,,1.0
Río Pescado,4.0,,2.0
Río Piendamo,6.0,,4.0
Río Porce,28.0,,13.0
Río Prado,17.0,,6.0
Río Putumayo Bajo,6.0,,3.0
Río Putumayo Directos (mi),6.0,,2.0
Río Putumayo Medio,4.0,,4.0
Río Páez,27.0,,16.0
Río Querary,1.0,,
Río Quinamayo y otros directos al Cauca,9.0,,2.0
Río Quito,9.0,,1.0
Río Ranchería,52.0,,36.0
Río Risaralda,14.0,,7.0
Río Rosario,4.0,,3.0
Río Saija,2.0,,1.0
Río Salaquí  y otros directos Bajo Atrato,1.0,,5.0
Río San Juan,10.0,,8.0
Río San Juan (Frontera Ecuador),1.0,,
Río San Juan Alto,5.0,,1.0
Río San Juan Medio,2.0,,1.0
Río San Juan del Micay,9.0,,7.0
Río San_Miguel,2.0,,
Río Seco y otros Directos al Magdalena,9.0,,1.0
Río Sipí,5.0,,2.0
Río Socuavo del Norte y Río Socuavo Sur,1.0,,
Río Sogamoso,12.0,,13.0
Río Suaza,6.0,,5.0
Río Sucio,13.0,,9.0
Río Sumapaz,23.0,,12.0
Río Suárez,60.0,,45.0
Río Tamaná y otros Directos San Juan,10.0,,4.0
Río Tanela y otros Directos al Caribe,2.0,,3.0
Río Tapaje,2.0,,
Río Tapias,2.0,,4.0
Río Taraza - Río Man,7.0,,7.0
Río Tarra,2.0,,5.0
Río Telembí,5.0,1.0,
"Río Tetuán, Río Ortega",7.0,,1.0
Río Timaná y otros directos al Magdalena,5.0,,4.0
Río Timba,2.0,,1.0
Río Timbiquí,1.0,,
Río Tolo y otros Directos al Caribe,4.0,,1.0
Río Totare,10.0,,10.0
Río Tuparro,4.0,,2.0
Río Túa y otros directos al Meta,9.0,,2.0
Río Upía,6.0,,4.0
Río Vita,,,1.0
Río Yaguará y Río Iquira,12.0,1.0,12.0
Río Yucao,3.0,,
Río Zulia,27.0,,51.0
Río del Suroeste y directos Río de Oro,,,1.0
Ríos Amaime y Cerrito,6.0,,2.0
Ríos Cajambre - Mayorquín - Raposo,2.0,,
Ríos Cali,3.0,,1.0
Ríos Calima y  Bajo San Juan,9.0,,1.0
Ríos Chimicuica y Corozal,8.0,,1.0
Ríos Claro y Jamundí,5.0,,3.0
Ríos Directos al Magdalena (mi),10.0,,5.0
"Ríos Guabas,Sabaletas y Sonso",2.0,,1.0
Ríos Guadalajara y San Pedro,1.0,,2.0
"Ríos Lilí, Melendez y Canaveralejo",3.0,,1.0
Ríos Tulua y Morales,7.0,1.0,4.0
Ríos directos Magdalena (md),8.0,,5.0
Rïo Cucuana,8.0,,6.0
San Andres,8.0,,4.0
